,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,basic lemon cheesecake,86612,130,13,"['biscuit', 'butter', 'cheese', 'milk', 'lemon', 'juice']",4751.4,472.0,1194.0,167.0,175.0,907.0,143.0,-
1,chocolate swirled pound cake,188525,120,15,"['butter', 'sugar', 'egg', 'purpose flour', 'milk', 'vanilla extract', 'chocolate syrup']",8499.4,651.0,2618.0,152.0,212.0,1267.0,362.0,-
2,coconut pecan cake,102890,45,17,"['chocolate cake mix', 'chocolate pudding mix', 'water', 'egg', 'oil', 'coconut', 'butter', 'cheese', 'milk', 'sugar icing', 'vanilla', 'pistachio']",9276.9,859.0,3079.0,267.0,198.0,1517.0,343.0,-
3,mango icebox cake,131115,30,15,"['cracker crumb', 'sugar', 'butter', 'gelatin', 'water', 'cheese', 'milk', 'cream', 'mango']",6589.1,565.0,2609.0,155.0,229.0,1088.0,245.0,-
4,moosewood pound cake,293065,80,12,"['butter', 'sugar', 'egg', 'milk', 'vanilla extract', 'baking powder', 'wheat flour']",8013.6,631.0,2410.0,70.0,202.0,1244.0,333.0,-
5,awesome mojo chicken breasts,170803,125,9,"['chicken breast', 'mojo criollo', 'garlic']",261.4,20.0,3.0,3.0,61.0,19.0,0.0,-
6,cashew chicken  microwave,191496,25,7,"['chicken breast', 'soy sauce', 'cornstarch', 'gingerroot', 'oil', 'garlic', 'sherry', 'snow pea', 'cash']",373.6,38.0,7.0,27.0,38.0,24.0,4.0,-
7,oriental chicken,47565,100,4,"['chicken breast', 'soy sauce', 'garlic', 'ginger', 'oil', 'pepper', 'sherry']",320.3,9.0,1.0,49.0,113.0,6.0,0.0,-
8,solo chicken breast teriyaki style,5448,30,10,"['chicken breast', 'gingerroot', 'garlic', 'soy sauce', 'sherry', 'sugar', 'cooking oil']",730.8,9.0,40.0,172.0,70.0,4.0,8.0,-
9,solo teriyaki chicken  pilaf,8437,50,7,"['chicken breast', 'gingerroot', 'garlic', 'soy sauce', 'sherry', 'sugar', 'champignon mushroom', 'grain rice', 'cooking oil', 'chicken stock']",517.8,10.0,28.0,45.0,74.0,5.0,20.0,-
10,albanian tomato cucumber salad,307882,15,3,"['tomato', 'cucumber', 'durkee onion', 'pepper', 'oil', 'feta cheese', 'olive']",163.8,19.0,20.0,14.0,8.0,20.0,3.0,-
11,ed s salad,86485,135,10,"['tomato', 'olive', 'cucumber', 'durkee onion', 'parmesan cheese', 'salt', 'pepper', 'cheese fantastico salad dress', 'leaf lettuce']",112.4,11.0,18.0,38.0,8.0,9.0,3.0,-
12,garlic feta  tomato salad,156107,10,11,"['oil', 'lemon juice concentrate', 'garlic', 'tomato', 'pepper', 'feta cheese', 'cucumber', 'durkee onion', 'bean', 'bacon bit', 'leaf lettuce', 'pine nut', 'salt']",231.8,29.0,19.0,18.0,15.0,24.0,3.0,-
13,greek summer salad,226778,75,11,"['salad dress', 'tomato', 'feta cheese', 'vinegar', 'cucumber', 'durkee onion', 'olive']",61.3,5.0,13.0,6.0,5.0,10.0,1.0,-
14,super easy tomatoes with melted cheese,383305,10,9,"['tomato', 'pepper', 'feta cheese', 'olive', 'durkee onion']",41.9,3.0,8.0,6.0,3.0,7.0,1.0,-
15,mesclun salad w  pecans  blue cheese   cranberry vinaigrette,146678,15,7,"['wine vinegar', 'oil', 'craisin', 'mustard', 'garlic', 'salt', 'pepper', 'water', 'pecan halve', 'mesclun', 'durkee onion', 'cheese']",510.4,68.0,66.0,30.0,17.0,46.0,8.0,['american']
16,basic vinaigrette with variations,152753,5,8,"['garlic', 'mustard', 'wine vinegar', 'salt', 'pepper', 'oil']",96.8,16.0,0.0,7.0,0.0,7.0,0.0,-
17,broccoli with dijon vinaigrette,38990,24,7,"['broccoli stem', 'oil', 'durkee onion', 'tarragon sprig', 'mustard', 'garlic', 'wine vinegar', 'water', 'mustard', 'pepper', 'salt']",128.5,8.0,16.0,8.0,13.0,3.0,5.0,-
