,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,easy shrimp creole 53,385142,40,9,"['durkee onion', 'celery seed', 'pepper', 'garlic', 'butter', 'tomato sauce', 'water', 'leaf parsley', 'salt', 'cayenne pepper', 'leave', 'shrimp', 'grain rice']",421.8,20.0,36.0,76.0,39.0,37.0,18.0,['american']
1,louisiana jambalaya,31182,75,7,"['durkee onion', 'butter', 'garlic', 'tomato', 'tomato paste', 'celery seed', 'bell pepper', 'salt', 'pepper', 'cayenne pepper', 'thyme sprigs', 'clove', 'crabmeat', 'shrimp', 'water', 'grain rice', 'sauce']",343.4,11.0,23.0,44.0,74.0,20.0,9.0,['american']
2,mom s smothered chicken   rice,210649,95,11,"['chicken thigh', 'pepper', 'paprika', 'durkee onion', 'butter', 'grain rice']",342.2,15.0,19.0,5.0,47.0,23.0,12.0,['american']
3,northern jambalaya,310936,50,6,"['cayenne pepper', 'grain rice', 'chicken soup', 'onion soup mix', 'pepper', 'durkee onion', 'celery seed', 'hamburger', 'kielbasa']",405.1,38.0,13.0,45.0,44.0,42.0,7.0,['american']
4,seafood jambalaya,348179,40,6,"['bell pepper', 'durkee onion', 'paprika', 'garlic', 'shrimp', 'crawfish tail meat', 'oil', 'butter', 'andouille sausage', 'grain rice', 'salt', 'pepper', 'cayenne pepper']",534.2,57.0,6.0,26.0,48.0,91.0,8.0,['american']
5,celeriac coleslaw,281559,15,6,"['celeriac', 'lemon', 'juice', 'apple', 'mayonnaise', 'mustard', 'leaf parsley']",94.9,9.0,20.0,7.0,1.0,4.0,3.0,-
6,maple nut carrot salad,276288,15,4,"['baby carrot', 'raisin', 'celery seed', 'pistachio', 'mayonnaise', 'maple syrup']",115.4,6.0,49.0,9.0,3.0,2.0,6.0,-
7,nostalgia apple salad,179507,15,8,"['apple', 'celery seed', 'juice', 'raisin', 'walnut', 'mayonnaise', 'seed', 'celery seed', 'sugar']",495.5,32.0,226.0,21.0,7.0,15.0,27.0,-
8,orange waldorf salad,254734,135,6,"['orange', 'apple', 'celery seed', 'mayonnaise', 'cinnamon', 'leaf lettuce']",44.0,1.0,26.0,1.0,1.0,0.0,2.0,-
9,the best waldorf salad,180028,15,1,"['tart cooking apple', 'apple', 'grape', 'pistachio', 'celery seed', 'raisin', 'mayonnaise']",226.5,18.0,92.0,4.0,3.0,6.0,10.0,-
