,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,crisp flatbread,682,104,19,"['yeast', 'water', 'salt', 'wheat bread flour']",107.0,0.0,1.0,8.0,6.0,0.0,7.0,-
1,easy kitchenaid mixer pizza dough,445661,40,19,"['water', 'yeast', 'olive oil', 'salt', 'oregano', 'honey', 'wheat bread flour']",165.6,3.0,9.0,9.0,10.0,1.0,10.0,-
2,easy wheat stalk bread  rustic  pain d epi,364454,30,26,"['water', 'yeast', 'salt', 'wheat bread flour']",502.7,2.0,1.0,72.0,30.0,1.0,34.0,-
3,french hoagie rolls,415033,120,11,"['yeast', 'water', 'wheat bread flour', 'olive oil', 'salt']",419.3,9.0,1.0,36.0,22.0,4.0,26.0,-
4,toasted garlic hamburger buns,193579,125,26,"['water', 'sugar', 'yeast', 'olive oil', 'wheat bread flour', 'salt', 'garlic']",199.3,7.0,1.0,16.0,9.0,3.0,11.0,-
5,date balls,410815,70,7,"['butter', 'sugar', 'vanilla extract', 'date', 'grain cereal', 'pistachio', 'vanilla']",58.3,5.0,24.0,0.0,0.0,6.0,2.0,['american']
6,frogs  aka macaroons,120125,85,8,"['cocoa', 'sugar', 'milk', 'butter', 'vanilla extract', 'coconut', 'oat']",108.2,5.0,48.0,1.0,3.0,11.0,5.0,['american']
7,no bake chocolate balls,124788,20,6,"['butter', 'sugar', 'cocoa', 'vanilla', 'espresso', 'oat', 'coconut']",68.2,6.0,16.0,1.0,1.0,12.0,2.0,['american']
8,coco cocoa fantasy fudge  clean eating,394346,25,6,"['coconut oil', 'honey', 'vanilla extract', 'cocoa']",32.2,0.0,34.0,0.0,0.0,0.0,2.0,-
9,raw vegan peanut butter cups,420685,20,11,"['date', 'coconut oil', 'cocoa', 'agave', 'peanut butter', 'vanilla']",83.3,12.0,7.0,0.0,2.0,28.0,0.0,-
10,brook trout and fiddleheads,109470,40,18,"['trout fillet', 'wheat flour', 'bacon', 'fiddlehead', 'water', 'pepper']",966.0,79.0,0.0,26.0,210.0,61.0,4.0,-
