,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,california mushroom tart,391134,50,15,"['pastry', 'champignon mushroom', 'bell pepper', 'durkee onion', 'spinach', 'cheese', 'leaf basil', 'tomato', 'olive oil', 'pepper']",125.8,13.0,11.0,11.0,12.0,18.0,2.0,['american']
1,better than dad s clam casino,148033,30,10,"['quahog', 'elephant garlic clove', 'durkee onion', 'pepper', 'bell pepper', 'oregano', 'leaf basil', 'olive oil', 'cheese', 'breadcrumb']",101.8,10.0,4.0,5.0,12.0,11.0,1.0,-
2,pasta salad with grilled vegetables,24703,38,12,"['wine vinegar', 'water', 'salt', 'garlic', 'pepper', 'olive oil', 'tomato', 'vegetable oil cooking spray', 'bell pepper', 'zucchini', 'summer squash', 'durkee onion', 'bow tie pasta', 'leaf basil']",119.2,3.0,20.0,9.0,8.0,2.0,6.0,-
3,penne with eggplant  zucchini  and yellow squash,161990,50,12,"['eggplant', 'zucchini', 'summer squash', 'durkee onion', 'bell pepper', 'penne pasta', 'leaf basil', 'parmesan cheese', 'olive oil']",231.9,8.0,17.0,2.0,12.0,6.0,13.0,-
4,roasted veggies,220587,35,7,"['bell pepper', 'zucchini', 'summer squash', 'durkee onion', 'asparagus', 'garlic', 'olive oil', 'vinegar', 'leaf basil', 'salt', 'pepper']",114.8,8.0,30.0,19.0,9.0,3.0,4.0,-
5,blackberry lemonade,244358,20,5,"['blackberry', 'sugar', 'lemon juice concentrate', 'water']",1141.7,4.0,957.0,1.0,19.0,0.0,98.0,-
6,fresh raspberry jam,70806,15,3,"['raspberry', 'sugar']",1718.6,3.0,1654.0,0.0,7.0,0.0,146.0,-
7,limoncello glaze,510138,5,1,"['sugar', 'limoncello']",933.6,0.0,938.0,0.0,0.0,0.0,79.0,-
8,sugared blackberries,360249,4335,2,"['blackberry', 'sugar', 'salt']",835.9,1.0,827.0,12.0,4.0,0.0,71.0,-
9,sweet tea,315351,17,5,"['berry tea bag', 'sugar']",1161.0,0.0,1197.0,0.0,0.0,0.0,99.0,-
10,amhari mesir wat,184012,70,9,"['lentil', 'durkee onion', 'oil', 'tomato paste', 'paprika', 'garlic', 'ground ginger', 'pepper', 'salt', 'water']",194.6,21.0,9.0,14.0,8.0,10.0,4.0,-
11,ginger lentil soup,66635,110,8,"['oil', 'baby carrot', 'durkee onion', 'ginger', 'garlic', 'cumin', 'pepper', 'allspice', 'water', 'lentil', 'grain rice', 'potato', 'salt', 'spinach']",289.8,8.0,20.0,19.0,24.0,4.0,16.0,-
12,indian spiced lentil soup,195021,85,9,"['oil', 'durkee onion', 'potato', 'garlic', 'juice', 'ground ginger', 'cumin', 'coriander', 'cayenne pepper', 'lentil', 'lentil', 'water', 'ground cilantro', 'pepper', 'salt']",334.6,8.0,26.0,7.0,36.0,3.0,18.0,-
13,mujadarra,351669,45,11,"['durkee onion', 'oil', 'lentil', 'minute rice', 'garlic', 'water', 'salt', 'cinnamon', 'pepper', 'paprika', 'allspice', 'cumin']",667.5,63.0,25.0,49.0,23.0,28.0,21.0,-
14,simple chicken stew soup,273121,30,10,"['chicken thigh', 'water', 'oil', 'tomato paste', 'garlic', 'salt', 'pepper', 'paprika', 'cumin powder', 'ginger', 'turmeric', 'baby carrot', 'durkee onion', 'potato']",186.0,5.0,17.0,28.0,8.0,2.0,11.0,-
15,blue ribbon cheese cake brownies,81784,35,14,"['cheese', 'egg', 'vanilla extract', 'sugar', 'wheat flour', 'chocolate chip', 'oil', 'butter', 'sugar', 'egg', 'salt']",258.1,26.0,62.0,8.0,7.0,50.0,7.0,['american']
16,cream cheese coconut pecan pound cake,118936,115,14,"['butter', 'cheese', 'sugar', 'egg', 'wheat flour', 'salt', 'vanilla extract', 'pistachio', 'coconut']",701.1,63.0,203.0,14.0,18.0,110.0,25.0,['american']
17,eileen d esterhazy buckley s creamy pound cake,204802,100,10,"['butter', 'cheese', 'sugar', 'wheat flour', 'salt', 'egg', 'vanilla extract', 'almond extract', 'mace']",461.7,37.0,151.0,8.0,12.0,73.0,18.0,['american']
18,pecanettes,268534,40,12,"['cheese', 'butter', 'wheat flour', 'egg', 'sugar', 'vanilla extract', 'salt', 'pistachio', 'vegetable oil cooking spray', 'sugar']",119.9,12.0,27.0,2.0,2.0,18.0,3.0,['american']
19,tiny pecan pies,509897,55,14,"['cheese', 'butter', 'wheat flour', 'egg', 'sugar', 'salt', 'pistachio', 'vanilla extract']",119.8,12.0,27.0,2.0,2.0,18.0,3.0,['australian']
20,auntie em s coconut cupcakes,302880,55,19,"['wheat flour', 'baking soda', 'salt', 'vegetable oil', 'buttermilk', 'egg', 'vanilla extract', 'almond extract', 'sugar', 'coconut', 'cheese', 'butter', 'sugar']",514.0,45.0,180.0,15.0,8.0,68.0,19.0,['american']
21,barefoot contessa thumbprint cookies,484810,50,13,"['butter', 'sugar', 'vanilla extract', 'wheat flour', 'salt', 'egg', 'water', 'coconut', 'strawberry jam']",490.5,45.0,95.0,3.0,10.0,99.0,17.0,['american']
22,cream cheese bourbon pecan pound cake,118935,115,14,"['butter', 'cheese', 'sugar', 'egg', 'wheat flour', 'salt', 'bourbon whiskey', 'vanilla extract', 'pistachio']",720.5,64.0,205.0,16.0,17.0,99.0,25.0,['american']
23,lemon and mint marinade for poultry,19798,16,2,"['lemon juice concentrate', 'mint', 'oil']",125.7,20.0,1.0,0.0,0.0,9.0,0.0,['american']
24,lemon garlic dump chicken,166087,55,6,"['garlic', 'oil', 'leaf parsley', 'lemon juice concentrate', 'pepper', 'chicken thigh']",347.8,44.0,1.0,3.0,38.0,31.0,0.0,['american']
25,lemon oregano marinade for poultry,19831,6,2,"['lemon juice concentrate', 'oregano', 'oil']",126.2,20.0,1.0,0.0,0.0,9.0,0.0,['american']
26,scalloped tomatoes and artichokes,36840,30,5,"['oil', 'durkee onion', 'tomato', 'artichoke heart', 'basil leave', 'leaf parsley', 'lemon juice concentrate', 'sugar', 'pepper']",119.6,10.0,19.0,1.0,5.0,5.0,4.0,['american']
27,chickpeas salad with black olives,501928,6,1,"['chickpea', 'tomato', 'olive', 'leaf parsley', 'mint', 'oil', 'lemon juice concentrate', 'salt']",297.6,27.0,28.0,5.0,17.0,11.0,9.0,-
28,apple grape jelly,10115,190,12,"['concord grape', 'tart cooking apple', 'water', 'lemon juice concentrate', 'sugar']",1149.7,2.0,1150.0,0.0,6.0,2.0,98.0,-
29,black bing cherry preserves,70865,2895,9,"['bing cherry', 'sugar', 'water', 'lemon juice concentrate']",1367.3,1.0,1333.0,0.0,11.0,1.0,117.0,-
30,make your own fresh lemonade concentrate syrup,64147,20,11,"['lemon juice concentrate', 'water', 'sugar']",1252.5,0.0,1234.0,0.0,2.0,0.0,110.0,-
31,rose scented geranium lemonade,451185,17,8,"['water', 'sugar', 'geranium leave', 'lemon juice concentrate']",827.7,0.0,823.0,0.0,1.0,0.0,72.0,-
32,winter pear butter,273,55,15,"['pear', 'sugar', 'brandy', 'water']",2059.7,3.0,1519.0,0.0,13.0,0.0,161.0,-
33,caramel frappe     just like mcdonalds,421745,6,11,"['ice', 'milk', 'espresso', 'sugar', 'caramel topping', 'cream']",114.1,6.0,53.0,2.0,4.0,13.0,5.0,-
34,caramel frappuccino,152707,3,4,"['espresso', 'sugar', 'milk', 'ice', 'caramel sundae syrup', 'cream']",190.3,3.0,75.0,6.0,5.0,7.0,14.0,-
35,frappuccino,203335,10,10,"['espresso', 'sugar', 'milk', 'ice', 'cream', 'caramel topping', 'chocolate syrup']",299.0,5.0,138.0,10.0,11.0,9.0,20.0,-
36,frappuccino light   just like that star place,98687,5,5,"['espresso', 'milk', 'sugar', 'sweetener', 'ice', 'cream']",100.3,0.0,62.0,2.0,7.0,0.0,6.0,-
37,mocha frappuccino,152705,3,4,"['espresso', 'sugar', 'milk', 'ice', 'chocolate syrup', 'cream']",210.4,7.0,114.0,5.0,6.0,12.0,13.0,-
38,angel food cake with mixed berries,420761,10,2,"['strawberry', 'raspberry', 'blackberry', 'blueberry', 'sugar', 'angel food cake']",256.6,1.0,131.0,15.0,11.0,0.0,19.0,-
39,bumbleberry pie,230051,80,8,"['pie crust', 'blackberry', 'blueberry', 'raspberry', 'rhubarb', 'strawberry', 'sugar', 'wheat flour', 'lemon juice concentrate']",388.3,24.0,117.0,10.0,8.0,19.0,19.0,-
40,mixed berries marnier,237822,5,3,"['raspberry', 'blackberry', 'blueberry', 'strawberry', 'sugar', 'marnier']",172.9,2.0,103.0,0.0,6.0,0.0,13.0,-
41,summer berry medley with limoncello and mint,178099,25,3,"['raspberry', 'blackberry', 'strawberry', 'blueberry', 'sugar', 'lemon zest', 'lemon juice concentrate', 'limoncello', 'mint leaf']",109.7,1.0,75.0,0.0,3.0,0.0,8.0,-
