,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,brown cow for kids,41609,1,3,"['cola', 'milk']",123.5,6.0,44.0,2.0,8.0,13.0,5.0,-
1,chai pops,126074,245,5,"['chai tea', 'milk', 'sugar']",43.9,1.0,25.0,0.0,2.0,3.0,2.0,-
2,custard drink,98738,4,4,"['vanilla custard', 'sugar', 'milk']",48.8,0.0,50.0,0.0,0.0,0.0,4.0,-
3,easy to prepare honeydew sago pudding,62479,185,7,"['milk', 'sugar', 'sago', 'honeydew melon']",191.9,10.0,72.0,4.0,13.0,21.0,9.0,-
4,slow cooker rice pudding,284676,181,4,"['pudding rice', 'sugar', 'milk']",131.7,0.0,66.0,4.0,12.0,1.0,8.0,-
5,chicken chile verde enchiladas,233148,50,12,"['chicken breast', 'cheddar cheese', 'jack cheese', 'cream', 'durkee onion', 'chily', 'tortilla flour', 'enchilada sauce', 'olive']",593.7,47.0,62.0,100.0,62.0,80.0,15.0,['mexican']
6,creamy chicken and chile casserole,51384,40,12,"['chicken breast', 'cheese', 'chily', 'tortilla flour', 'enchilada sauce', 'cheese', 'pepper', 'seasoning salt', 'garlic', 'chili powder']",2309.5,230.0,134.0,243.0,242.0,412.0,40.0,['mexican']
7,easy cheese and chicken enchiladas,343601,60,12,"['chicken breast', 'lime', 'salt', 'pepper', 'blend cheese', 'cream', 'durkee onion', 'chily', 'tortilla flour', 'enchilada sauce']",961.9,92.0,41.0,104.0,97.0,162.0,19.0,['mexican']
8,frances  fantastic enchiladas,142492,45,19,"['corn tortilla', 'ground beef', 'olive', 'durkee onion', 'cheddar cheese', 'enchilada sauce', 'cream']",1063.5,88.0,49.0,99.0,100.0,148.0,28.0,['mexican']
9,johnny jalapeno s chicken enchiladas with cilantro,461100,60,17,"['butter', 'oil', 'chicken breast', 'garlic', 'jalapeno pepper', 'durkee onion', 'cumin powder', 'cheese', 'cream', 'tortilla flour', 'blend cheese', 'enchilada sauce', 'picante sauce', 'cream', 'ground cilantro']",862.7,73.0,46.0,89.0,73.0,120.0,23.0,['mexican']
10,chocolate foundant puddings,311561,44,9,"['caster sugar', 'butter', 'chocolate', 'jumbo egg', 'egg', 'wheat flour', 'cinnamon', 'salt', 'cream']",685.2,100.0,53.0,15.0,25.0,194.0,9.0,-
11,hind s head quaking pudding,374791,70,12,"['jumbo egg', 'egg', 'sugar', 'milk', 'cream', 'cinnamon', 'nutmeg', 'butter', 'wheat flour']",475.6,63.0,71.0,2.0,13.0,121.0,6.0,-
12,melting chocolate puddings,227299,35,12,"['chocolate', 'butter', 'brandy', 'caster sugar', 'egg', 'jumbo egg', 'vanilla extract', 'wheat flour']",465.0,58.0,59.0,7.0,17.0,111.0,9.0,-
13,raspberry   cinnamon sponge dessert,400776,30,9,"['butter', 'raspberry', 'cinnamon', 'caster sugar', 'wheat flour', 'range egg', 'cream']",554.0,53.0,121.0,17.0,15.0,103.0,18.0,-
14,teisen sinamon  welsh cinnamon cake,482570,45,8,"['wheat flour', 'sugar', 'caster sugar', 'butter', 'jumbo egg', 'egg white', 'baking powder', 'cinnamon', 'strawberry jam', 'milk']",2315.6,157.0,558.0,46.0,73.0,307.0,105.0,-
15,emeril s mango lassi,105845,7,3,"['ice cube', 'juice', 'mango', 'honey', 'yogurt', 'water']",139.0,5.0,95.0,1.0,7.0,9.0,8.0,['indian']
16,oranges and lemons pick me up,47219,10,4,"['orange', 'juice', 'lemon', 'juice', 'honey', 'ice cube']",114.3,0.0,102.0,0.0,1.0,0.0,10.0,['indian']
17,citrus sunrise,121251,3,4,"['juice', 'grapefruit section', 'lime juice concentrate', 'honey', 'ice cube']",61.6,0.0,60.0,0.0,1.0,0.0,5.0,-
18,sparkling orange water,266693,2,2,"['juice', 'seltzer water', 'lime juice concentrate', 'ice cube', 'wedge']",28.9,0.0,21.0,1.0,0.0,0.0,2.0,-
19,strawberry orange smoothie,127453,10,2,"['strawberry', 'juice', 'ice cube', 'honey']",89.4,0.0,67.0,0.0,2.0,0.0,7.0,-
20,cherry bing bars,385935,30,6,"['sugar', 'butter', 'salt', 'marshmallow', 'milk', 'cherry chip', 'chocolate chip cookie', 'peanut butter', 'peanut butter']",164.2,14.0,72.0,2.0,5.0,20.0,6.0,-
21,cherry mash bars,70274,12,11,"['sugar', 'milk', 'butter', 'marshmallow', 'cherry chip', 'vanilla', 'peanut butter', 'chocolate chip cookie', 'peanut butter']",123.8,11.0,44.0,1.0,5.0,13.0,4.0,-
22,cherry mash candy,204978,30,8,"['sugar', 'milk', 'marshmallow', 'butter', 'salt', 'cherry baking bit', 'vanilla extract', 'chocolate chip cookie', 'peanut butter']",277.5,23.0,127.0,4.0,7.0,35.0,12.0,-
23,chocolate fudge,403911,20,6,"['sugar', 'milk', 'marshmallow', 'butter', 'chocolate chip cookie', 'vanilla']",174.1,11.0,106.0,1.0,1.0,22.0,9.0,-
24,s more chow,448704,10,8,"['capn crunch cereal', 'marshmallow', 'chocolate chip cookie', 'butter', 'peanut butter', 'sugar']",483.9,32.0,218.0,13.0,12.0,45.0,24.0,-
25,forevermama s hawaiian chicken wings,483571,75,13,"['chicken wing', 'purpose flour', 'salt', 'oil', 'sugar', 'soy sauce', 'garlic', 'scallion', 'jalapeno pepper']",596.6,56.0,34.0,25.0,86.0,51.0,7.0,['american']
