,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,best ever roast turkey,467872,270,55,"['turkey', 'durkee onion', 'leaf parsley', 'poultry seasoning', 'sherry', 'celery top', 'sea salt', 'pepper', 'oil', 'water', 'butter']",1340.1,100.0,15.0,79.0,211.0,120.0,4.0,-
1,how to cook a perfect turkey,262564,210,27,"['turkey', 'salt', 'pepper', 'spice']",708.3,54.0,0.0,11.0,180.0,50.0,0.0,-
2,martha s perfect roast turkey,442389,390,54,"['turkey', 'butter', 'wine', 'salt', 'pepper', 'turkey stuff', 'wine', 'stock']",1140.0,103.0,2.0,31.0,226.0,135.0,0.0,-
3,no fail bbq baby back ribs  grill,517451,260,48,"['cayenne pepper', 'pepper', 'garlic', 'salt', 'pork baby back rib', 'barbecue sauce']",1654.5,136.0,294.0,167.0,207.0,155.0,36.0,-
4,slow roasted turkey breast with gravy,399976,165,41,"['turkey breast', 'salt', 'vegetable oil', 'durkee onion', 'garlic', 'butter', 'wheat flour', 'chicken broth', 'chicken broth', 'pepper']",1191.1,88.0,8.0,56.0,301.0,86.0,2.0,-
5,almond butter cookies with frosting,200004,20,12,"['butter', 'sugar', 'egg', 'almond extract', 'purpose flour', 'sugar icing', 'milk', 'almond']",227.5,17.0,66.0,3.0,4.0,34.0,9.0,-
6,easiest ever lemon squares,128172,63,12,"['purpose flour', 'sugar', 'butter', 'strawberry jam', 'egg', 'lemon pie fill', 'ground almond', 'almond']",115.7,10.0,21.0,1.0,4.0,16.0,3.0,-
7,finnish christmas cookies with almonds,235180,30,13,"['butter', 'sugar', 'purpose flour', 'egg', 'almond', 'crystal sugar']",179.7,18.0,22.0,4.0,4.0,33.0,5.0,-
8,finnish cookies   danish finsk broed,396621,40,11,"['purpose flour', 'sugar', 'butter', 'egg', 'almond']",32.9,2.0,3.0,0.0,1.0,4.0,1.0,-
9,raspberry jam tart with almond crumble,252073,45,14,"['almond', 'sugar', 'butter', 'purpose flour', 'salt', 'egg', 'strawberry jam']",584.8,50.0,150.0,16.0,20.0,52.0,22.0,-
