,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,buttermilk chocolate brownies,13645,55,11,"['wheat flour', 'sugar', 'baking soda', 'salt', 'butter', 'cocoa powder', 'egg', 'buttermilk', 'vanilla', 'sugar', 'pistachio']",268.7,19.0,113.0,6.0,5.0,33.0,12.0,['american']
1,buttermilk pecan pancakes,43823,21,9,"['egg', 'butter', 'wheat flour', 'pistachio', 'sugar', 'baking powder', 'baking soda', 'salt', 'buttermilk']",225.0,18.0,18.0,19.0,14.0,20.0,7.0,['american']
2,filled coffee cake,12400,70,9,"['butter', 'sugar', 'egg', 'salt', 'vanilla', 'wheat flour', 'baking powder', 'baking soda', 'buttermilk']",461.6,27.0,142.0,26.0,15.0,52.0,22.0,['american']
3,kentucky buttercream bundt cake,148651,75,14,"['butter', 'sugar', 'egg', 'vanilla', 'baking powder', 'baking soda', 'salt', 'wheat flour', 'buttermilk', 'water', 'flavoring']",548.1,38.0,204.0,20.0,12.0,76.0,25.0,['american']
4,milk chocolate bundt cake,26982,78,11,"['chocolate candy bar', 'chocolate syrup', 'butter', 'sugar', 'egg', 'vanilla', 'wheat flour', 'salt', 'baking soda', 'buttermilk']",503.9,36.0,156.0,15.0,15.0,66.0,21.0,['american']
5,autumn two potato scallop,41183,75,10,"['butter', 'potato', 'potato', 'cream', 'milk', 'garlic', 'salt', 'pepper', 'parmesan cheese']",209.1,21.0,8.0,17.0,8.0,42.0,5.0,-
6,best twice baked potatoes,79595,35,10,"['potato', 'cream', 'milk', 'margarine', 'cheddar cheese', 'salt', 'pepper', 'bacon']",424.6,40.0,10.0,25.0,19.0,51.0,13.0,-
7,delmonico potatoes,84989,75,8,"['potato', 'cheddar cheese', 'mustard', 'cream', 'milk', 'pepper', 'salt', 'nutmeg']",539.8,44.0,25.0,14.0,35.0,90.0,18.0,-
8,garlic potatoes gspeed,149909,70,11,"['potato', 'salt', 'pepper', 'cheddar cheese', 'cream', 'garlic']",410.1,44.0,4.0,23.0,34.0,90.0,7.0,-
9,volcano potatoes   too retro,74079,50,8,"['potato', 'milk', 'cheddar cheese', 'cream', 'pepper']",235.2,18.0,4.0,3.0,13.0,36.0,8.0,-
