,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,chicken meatballs with sweet peanut sauce,456129,23,8,"['ground chicken', 'ground cilantro', 'breadcrumb', 'durkee onion', 'garlic', 'salt', 'pepper', 'vegetable oil', 'peanut butter', 'soy sauce', 'sugar', 'sesame oil', 'peanut butter']",456.2,44.0,47.0,54.0,60.0,25.0,6.0,-
1,honey mustard marinated pork loin,274950,70,9,"['pork loin chop', 'honey mustard dress', 'garlic', 'durkee onion', 'pepper flake', 'salt', 'pepper']",489.9,48.0,3.0,16.0,90.0,55.0,0.0,-
2,pollo en salsa de mani,304558,60,5,"['chicken breast', 'tomato', 'peanut butter', 'durkee onion', 'pepper', 'garlic', 'tomato paste', 'coriander sprig']",564.6,43.0,37.0,21.0,125.0,29.0,5.0,-
3,pork and tomatillo chili,265921,180,15,"['juice', 'beer', 'tomatillo', 'peanut butter', 'garlic', 'ground pork', 'salt', 'pepper', 'durkee onion', 'tomato', 'jalapeno pepper', 'pepper flake', 'ground cilantro', 'bean']",903.0,69.0,52.0,5.0,120.0,69.0,20.0,-
4,spicy peanut chicken wings,18123,55,12,"['chicken wing', 'pepper', 'peanut butter', 'soy sauce', 'honey', 'garlic', 'pepper flake', 'peanut butter', 'ground cilantro']",692.2,76.0,32.0,35.0,98.0,61.0,4.0,-
5,curry chicken salad with cucumbers,401392,20,4,"['mayonnaise', 'scallion', 'leaf parsley', 'curry powder', 'cider vinegar', 'cinnamon', 'chicken meat', 'celery seed', 'cucumber', 'pepper']",297.6,26.0,9.0,12.0,53.0,16.0,2.0,-
6,easy   yummy chicken salad sandwiches,111174,15,2,"['chicken meat', 'mayonnaise', 'mustard', 'apple', 'raisin', 'celery seed', 'pepper']",226.6,5.0,56.0,5.0,58.0,3.0,6.0,-
7,how to spatchcock a chicken,187484,10,3,"['chicken meat', 'pepper']",360.7,40.0,0.0,4.0,57.0,37.0,0.0,-
8,salt free herbal seasoning,292187,5,1,"['clove', 'cinnamon', 'leaf powder', 'allspice', 'pepper', 'nutmeg', 'mace', 'celery seed']",82.4,7.0,1.0,1.0,6.0,3.0,3.0,-
9,scalloped chicken and potatoes,58180,50,6,"['potato', 'celery seed', 'chicken meat', 'gravy mix', 'pepper', 'nutmeg', 'breadcrumb']",412.7,24.0,11.0,40.0,64.0,20.0,11.0,-
10,brown sugar snickerdoodles,445035,27,13,"['butter', 'shortening', 'sugar', 'sugar', 'egg', 'vanilla extract', 'purpose flour', 'tartar', 'baking soda', 'salt', 'cinnamon']",68.7,4.0,20.0,1.0,1.0,6.0,3.0,['american']
11,chewy cranberry gingers,183765,27,12,"['wheat flour', 'baking soda', 'salt', 'cinnamon', 'ginger', 'sugar', 'shortening', 'egg', 'molasses', 'cranberry sauce']",62.1,4.0,20.0,2.0,1.0,3.0,3.0,['american']
12,gingersnaps like no other  find the secret ingredient,208450,32,13,"['shortening', 'sugar', 'egg', 'molasses', 'baking soda', 'salt', 'ginger', 'cinnamon', 'lemon juice concentrate', 'wheat flour', 'wheat flour']",96.6,6.0,27.0,3.0,2.0,5.0,4.0,['american']
13,grandma s oatmeal drop cookies,105516,50,13,"['shortening', 'sugar', 'egg', 'molasses', 'wheat flour', 'baking soda', 'cinnamon', 'salt', 'oat', 'raisin']",211.3,9.0,81.0,6.0,6.0,7.0,12.0,['american']
14,cindy s soft snickerdoodles,283616,25,12,"['butter', 'shortening', 'sugar', 'egg', 'wheat flour', 'tartar', 'baking soda', 'salt', 'cinnamon']",184.4,13.0,54.0,4.0,4.0,18.0,8.0,-
15,artichoke heart salad,40512,5,3,"['artichoke heart', 'olive', 'pepper', 'durkee onion', 'cheese fantastico salad dress']",804.4,88.0,82.0,199.0,32.0,44.0,23.0,-
16,caesar italian dressing,167710,2,2,"['cheese fantastico salad dress', 'parmesan cheese', 'sugar', 'mayonnaise', 'anchovy fillet', 'pepper']",741.4,98.0,103.0,130.0,12.0,54.0,13.0,-
17,cool caesar tortellini salad,101324,20,8,"['egg tortellini', 'tomato', 'durkee onion', 'olive', 'parmesan cheese', 'pepper', 'cucumber', 'salad dress', 'romaine lettuce']",516.4,51.0,25.0,36.0,28.0,37.0,14.0,-
18,mom s antipasto salad,165070,35,5,"['shell pasta', 'bell pepper', 'durkee onion', 'tomato', 'pepperoni', 'salami', 'mozzarella cheese', 'olive', 'olive', 'dress', 'oregano', 'pepper', 'parmesan cheese', 'artichoke heart', 'pepperoncini pepper juice']",778.4,67.0,28.0,102.0,54.0,67.0,23.0,-
19,so easy pasta salad with crab,88474,1460,8,"['spiral pasta', 'dress', 'feta cheese', 'crabmeat', 'bell pepper', 'olive', 'durkee onion', 'pepper']",486.2,42.0,61.0,71.0,27.0,34.0,15.0,-
20,light cream cheese icing,259862,10,4,"['cheese', 'sugar icing']",57.3,2.0,39.0,1.0,1.0,5.0,3.0,-
21,pistachio fruit dip,242653,10,5,"['pistachio pudding mix', 'cheese', 'whip', 'sugar icing', 'milk']",213.6,22.0,68.0,3.0,5.0,52.0,6.0,-
22,strawberry cream cheese glaze,71643,5,3,"['cheese', 'sugar icing', 'strawberry', 'water']",272.1,30.0,77.0,7.0,7.0,55.0,7.0,-
23,strawberry frosting,209084,65,3,"['strawberry', 'whip']",358.5,29.0,184.0,0.0,3.0,82.0,16.0,-
24,strawberry twinkie delight,51883,30,9,"['strawberry', 'strawberry glaze', 'hostess twinky', 'cheese', 'milk', 'whip']",281.4,25.0,109.0,4.0,9.0,61.0,9.0,-
25,mango chutney,84244,135,3,"['mango', 'sugar', 'garlic', 'durkee onion', 'chily', 'peppercorn', 'clove', 'raisin', 'cayenne pepper', 'cider vinegar', 'salt', 'ground ginger', 'allspice']",1263.1,2.0,1114.0,101.0,14.0,1.0,106.0,['indian']
26,ginger pear chutney,100006,150,10,"['pear', 'sugar', 'raisin', 'ginger', 'cider vinegar', 'salt', 'cinnamon', 'allspice', 'clove']",385.5,0.0,348.0,8.0,1.0,0.0,32.0,-
27,rhubarb  victoria sauce,127048,35,10,"['rhubarb', 'durkee onion', 'raisin', 'sugar', 'vinegar', 'salt', 'cinnamon', 'ground ginger', 'allspice']",957.6,1.0,883.0,28.0,8.0,0.0,81.0,-
28,spicy rhubarb chutney,9467,120,5,"['sugar', 'cider vinegar', 'ground ginger', 'salt', 'allspice', 'cinnamon', 'clove', 'pepper', 'cayenne pepper', 'rhubarb', 'jalapeno pepper', 'ginger', 'garlic', 'durkee onion', 'raisin']",493.9,1.0,424.0,21.0,6.0,1.0,40.0,-
