,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
23,hash browns brunch casserole,289035,70,6,"['potato', 'celery soup', 'cheddar cheese', 'cream', 'durkee onion', 'garlic', 'durkee onion']",289.8,27.0,5.0,19.0,23.0,53.0,7.0,-
24,scalloped potatoes on the stovetop,470960,25,6,"['durkee onion', 'potato', 'milk', 'pepper', 'garlic', 'cheddar cheese']",327.9,18.0,11.0,9.0,27.0,37.0,14.0,-
25,barefoot contessa s mustard horseradish sauce,201024,5,1,"['mayonnaise', 'mustard', 'grain mustard', 'horseradish', 'cream', 'salt']",1891.0,205.0,110.0,858.0,151.0,86.0,44.0,-
26,carolina mustard bbq pork sauce   lower sodium,430319,5,3,"['cider vinegar', 'mustard', 'sugar', 'sauce', 'sauce', 'pepper', 'cayenne pepper']",916.4,62.0,251.0,481.0,88.0,12.0,36.0,-
27,country style ribs and potato wedges,413633,50,11,"['oil', 'durkee onion', 'garlic', 'mustard', 'beer', 'sugar', 'cider vinegar', 'salt', 'paprika', 'pepper', 'russet potato', 'style pork rib']",1028.1,87.0,120.0,802.0,91.0,84.0,27.0,-
28,instant pot baby back ribs,535318,45,9,"['baby back rib', 'salt', 'pepper', 'cider vinegar', 'barbecue sauce']",758.5,75.0,65.0,249.0,105.0,88.0,8.0,-
29,p90x chicken saladlevel iii,439201,15,4,"['chicken breast halve', 'mayonnaise', 'mustard', 'durkee onion', 'pepper', 'baby dill pickle', 'celery seed']",1099.6,80.0,47.0,546.0,220.0,22.0,21.0,-
30,elegant lemon bars,67931,45,19,"['wheat flour', 'sugar', 'butter', 'egg', 'baking powder', 'lemon juice concentrate']",138.0,9.0,50.0,2.0,3.0,18.0,6.0,-
31,lemon curd  stove top or microwave method  lime or orange curd,61278,35,19,"['lemon zest', 'lemon juice concentrate', 'sugar', 'butter', 'egg', 'jumbo egg']",129.1,9.0,67.0,2.0,2.0,18.0,5.0,-
32,luscious lemon pudding,470048,72,22,"['sugar', 'purpose flour', 'egg', 'butter', 'lemon rind', 'lemon juice concentrate', 'milk']",187.8,11.0,98.0,1.0,7.0,21.0,9.0,-
33,sugar cookie cutouts,188577,43,19,"['butter', 'sugar', 'egg', 'purpose flour']",114.0,9.0,20.0,1.0,2.0,19.0,4.0,-
34,walnut icebox kipfels,265656,1560,32,"['milk', 'sugar', 'yeast', 'wheat flour', 'butter', 'egg', 'walnut', 'lemon juice concentrate']",135.6,13.0,30.0,1.0,4.0,14.0,4.0,-
35,italian tri color cookies  rainbow cookies,147882,70,40,"['almond paste', 'sugar', 'almond extract', 'margarine', 'egg', 'purpose flour', 'salt', 'food coloring paste', 'food coloring paste', 'apricot preserve', 'semisweet chocolate', 'vegetable shortening']",123.0,11.0,35.0,2.0,3.0,9.0,4.0,['italian']
36,basic brownies with 4 variations,368527,40,47,"['butter', 'cocoa powder', 'sugar', 'egg', 'vanilla', 'purpose flour', 'salt', 'baking powder']",180.3,11.0,75.0,5.0,6.0,21.0,9.0,-
37,basic muffin batter  and variations,271716,30,41,"['butter', 'sugar', 'baking powder', 'salt', 'egg', 'purpose flour', 'buttermilk']",192.6,13.0,35.0,9.0,7.0,26.0,8.0,-
38,croissants,66524,980,55,"['water', 'yeast', 'purpose flour', 'milk', 'sugar', 'butter', 'egg', 'salt']",251.8,22.0,15.0,0.0,8.0,44.0,8.0,-
39,rainbow venetians,54624,555,31,"['almond paste', 'butter', 'sugar', 'egg', 'almond extract', 'wheat flour', 'salt', 'food coloring paste', 'food coloring paste', 'apricot preserve', 'semisweet chocolate']",102.8,9.0,26.0,1.0,2.0,16.0,3.0,-
40,basic tea biscuits,2121,30,15,"['wheat flour', 'baking powder', 'salt', 'shortening', 'milk']",111.9,8.0,0.0,10.0,4.0,7.0,4.0,-
41,kentucky biscuits,860,23,9,"['wheat flour', 'salt', 'sugar', 'baking powder', 'milk', 'vegetable shortening']",160.7,12.0,5.0,21.0,5.0,13.0,6.0,-
42,kfc and kentucky fried chicken biscuits,85057,25,10,"['wheat flour', 'salt', 'sugar', 'baking powder', 'milk', 'vegetable shortening']",160.7,12.0,5.0,21.0,5.0,13.0,6.0,-
43,make ahead  freeze and cook biscuits,155345,30,13,"['wheat flour', 'baking powder', 'salt', 'vegetable shortening', 'buttermilk']",158.6,11.0,3.0,14.0,6.0,10.0,6.0,-
44,party pizza base,138820,45,13,"['wheat flour', 'salt', 'baking powder', 'margarine', 'milk', 'pizza topping']",166.0,10.0,0.0,10.0,9.0,7.0,7.0,-
45,angel food frosting,374705,10,3,"['topping', 'strawberry yogurt', 'sugar', 'strawberry']",89.0,8.0,29.0,0.0,1.0,23.0,3.0,-
46,flowerpot parfait,72599,10,3,"['strawberry yogurt', 'strawberry', 'banana', 'granola cereal']",85.9,3.0,33.0,0.0,3.0,1.0,5.0,-
47,fresh fruit pudding milk mixer,407115,15,4,"['milk', 'pie crust mix', 'banana', 'strawberry']",79.3,3.0,34.0,2.0,8.0,7.0,3.0,-
48,strawberry banana v 8 fusion smoothie,354170,10,2,"['strawberry', 'banana', 'strawberry yogurt', 'fusion strawberry banana juice', 'ice cube']",136.1,1.0,42.0,1.0,7.0,3.0,9.0,-
49,yogurt breakfast pops,65672,10,4,"['cherry yogurt', 'banana', 'strawberry', 'marshmallow']",167.7,6.0,80.0,2.0,10.0,12.0,10.0,-
50,bangor big fat fudge brownies,398588,50,6,"['butter', 'sugar', 'vanilla extract', 'egg', 'purpose flour', 'cocoa powder', 'baking powder', 'salt', 'sugar']",191.7,15.0,75.0,6.0,4.0,29.0,8.0,-
51,double shot mocha chunk cookies,410693,30,10,"['butter', 'sugar', 'baking powder', 'espresso powder', 'salt', 'egg', 'vanilla extract', 'cocoa powder', 'purpose flour', 'chocolate chip cookie', 'semisweet chocolate piece']",130.9,9.0,47.0,1.0,3.0,18.0,6.0,-
52,easy frosted dark chocolate brownies with mocha frosting,490265,60,8,"['sugar', 'butter', 'egg', 'cocoa powder', 'purpose flour', 'salt', 'baking powder', 'sugar', 'espresso']",314.8,24.0,141.0,9.0,6.0,48.0,14.0,-
53,kahlua fudge brownies,115841,45,10,"['wheat flour', 'baking powder', 'salt', 'butter', 'baking chocolate', 'egg', 'sugar', 'kahlua']",353.4,23.0,143.0,8.0,8.0,46.0,16.0,-
54,soomie s kahlua brownies,252479,55,10,"['butter', 'baking chocolate', 'sugar', 'egg', 'purpose flour', 'baking powder', 'salt', 'kahlua']",144.0,9.0,53.0,3.0,4.0,18.0,6.0,-
55,baked crab rangoon,278030,60,7,"['crabmeat', 'light cream cheese', 'durkee onion', 'miracle whip', 'wonton wrapper']",66.6,4.0,1.0,9.0,8.0,9.0,1.0,-
56,crab and cream cheese wontons  sweet,300969,31,13,"['cheese', 'sugar', 'crabmeat', 'durkee onion', 'wonton wrapper']",47.1,6.0,7.0,1.0,1.0,12.0,0.0,-
57,hanh dam  vietnamese pickled onions,503424,18,7,"['durkee onion', 'sugar', 'rice vinegar']",120.5,0.0,70.0,0.0,4.0,0.0,9.0,-
58,imitation crabmeat rangoon,78111,16,9,"['cheese', 'crabmeat', 'durkee onion', 'sugar', 'garlic', 'wonton wrapper', 'oil']",113.5,10.0,0.0,7.0,6.0,20.0,3.0,-
59,so easy cream cheese icing,331856,10,5,"['sugar', 'light cream cheese']",342.3,25.0,184.0,15.0,8.0,51.0,15.0,-
60,allrighty then scrambled eggs   paula deen,73033,18,6,"['egg', 'cream', 'water', 'pepper', 'butter', 'cheddar cheese']",262.4,32.0,2.0,11.0,32.0,52.0,0.0,['american']
61,baby s giblet gravy,226459,20,3,"['chicken broth', 'pepper', 'egg', 'wheat flour', 'water', 'turkey giblet']",39.9,2.0,1.0,12.0,7.0,2.0,0.0,['american']
62,kid friendly brussels sprouts,214779,9,5,"['fresh brussels sprouts', 'water', 'pepper', 'cheddar cheese']",116.8,14.0,0.0,7.0,14.0,29.0,0.0,['american']
63,pat s no fail boiled eggs,231568,35,11,"['egg', 'water']",73.5,7.0,1.0,3.0,12.0,7.0,0.0,['american']
64,potato  egg  and cheese breakfast casserole,270667,90,10,"['potato', 'egg', 'water', 'pepper', 'cheese']",300.1,12.0,9.0,10.0,36.0,15.0,12.0,['american']
65,basted eggs,482308,5,10,"['butter', 'egg', 'salt', 'pepper', 'water']",247.7,32.0,1.0,58.0,25.0,52.0,0.0,-
66,classic hollandaise sauce,8750,20,11,"['jumbo egg', 'water', 'butter', 'lemon juice concentrate', 'salt', 'cayenne pepper']",296.6,50.0,0.0,8.0,3.0,100.0,0.0,-
67,eggs benedict for 2,137997,30,13,"['muffin', 'egg', 'hollandaise sauce mix', 'jumbo egg', 'lemon juice concentrate', 'butter', 'salt', 'cayenne pepper']",761.2,96.0,13.0,42.0,43.0,174.0,9.0,-
68,fresh asparagus with hollandaise,179500,25,11,"['asparagus', 'jumbo egg', 'lemon juice concentrate', 'water', 'mustard', 'leaf parsley', 'butter', 'salt', 'cayenne pepper']",485.9,77.0,7.0,16.0,11.0,153.0,2.0,-
69,poached eggs new orleans,268944,30,16,"['jumbo egg', 'lemon juice concentrate', 'butter', 'tabasco jalapeno sauce', 'salt', 'pepper', 'cayenne pepper', 'tomato', 'vinegar', 'egg', 'pepper', 'bread', 'leaf parsley', 'durkee onion']",494.5,65.0,16.0,41.0,21.0,121.0,6.0,-
70,cretan dakos   tomato  cheese rusk salad,241575,20,6,"['rusk', 'tomato', 'feta cheese', 'olive', 'oil', 'oregano']",313.5,43.0,19.0,33.0,19.0,57.0,2.0,['greek']
71,easy mediterranean pizza,33973,20,6,"['pizza crust', 'pesto sauce', 'artichoke heart', 'tomato', 'spinach leave', 'olive', 'feta cheese', 'mozzarella cheese', 'oil', 'pine nut', 'chicken breast', 'leaf basil', 'bell pepper', 'pepperoni']",242.8,23.0,28.0,39.0,28.0,42.0,5.0,"['greek', 'italian']"
72,feta pita appetizer,96193,20,5,"['wheat pita bread', 'feta cheese', 'mozzarella cheese', 'seasoning salt', 'durkee onion', 'tomato', 'olive']",289.4,15.0,11.0,32.0,23.0,25.0,12.0,['greek']
73,greek style spinach olive pizza  vegetarian,203842,17,4,"['pizza crust', 'pizza sauce', 'friulano cheese', 'feta cheese', 'tomato', 'spinach leave', 'durkee onion', 'olive', 'vinegar']",258.2,25.0,21.0,44.0,25.0,46.0,5.0,['greek']
74,sun dried tomato  goat cheese and artichoke pizza,248332,20,7,"['pizza crust', 'oil', 'pizza sauce', 'artichoke heart', 'mozzarella cheese', 'goat cheese', 'tomato']",268.7,26.0,32.0,33.0,30.0,46.0,4.0,-
75,butter horns,86924,100,18,"['egg', 'sugar', 'margarine', 'crisco', 'salt', 'water', 'yeast', 'wheat flour']",1158.2,61.0,52.0,49.0,53.0,44.0,56.0,-
76,copy cat great harvest cinnamon burst bread,442383,50,13,"['yeast', 'sugar', 'egg', 'water', 'salt', 'vegetable oil', 'cinnamon baking chip', 'wheat flour']",1538.9,29.0,104.0,112.0,90.0,17.0,97.0,-
77,crusty cheese bread,17149,135,15,"['yeast', 'water', 'cottage cheese', 'sugar', 'salt', 'egg', 'wheat flour']",1373.2,26.0,76.0,180.0,123.0,28.0,79.0,-
78,gluten free mix for bread machines,208826,190,13,"['rice flour', 'rice flour', 'starch', 'tapioca flour', 'buckwheat flour', 'salt', 'milk', 'xanthan gum', 'sugar', 'sugar', 'egg', 'water', 'vinegar', 'lemon juice concentrate', 'yeast', 'cooking oil']",1531.5,44.0,323.0,95.0,68.0,55.0,95.0,-
79,i cant believe it s gluten free bread,410814,70,19,"['rice flour', 'purpose flour', 'xanthan gum', 'salt', 'sugar', 'egg', 'butter', 'vinegar', 'water', 'yeast']",1751.1,67.0,104.0,163.0,95.0,103.0,96.0,-
80,carla s oreo pudding dessert,203509,80,8,"['oreo cookie', 'butter', 'ice cream', 'vanilla pudding', 'milk', 'cream']",387.7,32.0,134.0,18.0,8.0,51.0,15.0,-
81,cinnamon raisin bread pudding,196549,75,9,"['raisin bread', 'milk', 'vanilla pudding']",235.9,9.0,53.0,13.0,14.0,16.0,12.0,-
82,pistachio pudding dessert,224843,50,11,"['ritz cracker', 'butter', 'pistachio pudding mix', 'milk', 'ice cream', 'whip', 'chocolate candy bar']",273.4,28.0,53.0,8.0,7.0,54.0,8.0,-
83,pumpkin blizzard pie,46227,25,6,"['gingersnap cookie', 'butter', 'pumpkin pie spice', 'milk', 'ice cream']",226.8,21.0,61.0,6.0,6.0,43.0,8.0,-
84,swamp water,71875,5,6,"['milk', 'blackberry jell-o', 'ice cream']",259.0,22.0,76.0,5.0,14.0,44.0,8.0,-
85,maw maw s thanksgiving dressing,76142,90,12,"['breadcrumb', 'cornbread', 'biscuit', 'durkee onion', 'celery seed', 'durkee onion', 'leaf parsley', 'sage', 'salt', 'pepper', 'butter', 'egg', 'chicken broth']",98.9,10.0,4.0,14.0,5.0,19.0,2.0,['american']
86,nana s pa dutch potato and bread filling,146420,65,15,"['potato', 'butter', 'milk', 'chicken stock', 'celery seed', 'durkee onion', 'leaf parsley', 'salt', 'pepper', 'bread', 'egg']",304.1,22.0,13.0,13.0,13.0,44.0,12.0,['american']
87,homemade dressing,203032,45,8,"['cornbread', 'biscuit', 'butter', 'celery seed', 'durkee onion', 'egg', 'chicken stock', 'poultry seasoning', 'pepper']",172.3,18.0,16.0,15.0,14.0,30.0,3.0,-
88,old fashioned southern cornbread dressing,202077,140,16,"['chicken meat', 'butter', 'durkee onion', 'celery seed', 'cornbread', 'chicken broth', 'biscuit', 'chicken soup', 'egg', 'poultry seasoning', 'salt']",370.2,41.0,6.0,28.0,52.0,49.0,1.0,-
89,slow cooker cornbread dressing,205236,260,8,"['cornbread', 'herb stuffing mix', 'chicken soup', 'chicken broth', 'durkee onion', 'celery seed', 'egg', 'sage', 'salt', 'pepper', 'butter']",248.4,12.0,16.0,43.0,17.0,15.0,11.0,-
90,cantonese shrimp scramble,119677,10,9,"['egg', 'shrimp', 'cornstarch', 'salt', 'seafood cocktail sauce', 'vegetable oil', 'durkee onion']",248.1,21.0,3.0,28.0,52.0,17.0,0.0,-
91,chicken   corn egg flower soup,219640,20,13,"['chicken broth', 'gingerroot', 'cornstarch', 'kernel corn', 'egg', 'chicken meat', 'durkee onion', 'soy sauce']",124.4,3.0,4.0,44.0,33.0,3.0,2.0,-
92,shrimp and crab egg foo yong,59262,30,7,"['egg', 'shrimp', 'crabmeat', 'zucchini', 'bean sprout', 'durkee onion', 'salt', 'pepper', 'oil', 'chicken broth', 'oyster sauce', 'cornstarch', 'water', 'pepper', 'sesame oil']",330.9,29.0,18.0,31.0,58.0,20.0,3.0,-
93,springfield cashew chicken,101750,45,10,"['chicken meat', 'wheat flour', 'baking soda', 'cornstarch', 'egg', 'peanut butter', 'chicken broth', 'oyster sauce', 'sugar', 'soy sauce', 'pepper', 'grain rice', 'cash', 'durkee onion']",504.4,37.0,19.0,62.0,33.0,25.0,18.0,-
94,upland stir fry,466905,25,17,"['pancake mix', 'pepper', 'pheasant', 'egg', 'peanut butter', 'baby carrot', 'pepper', 'durkee onion', 'water', 'chicken broth', 'teriyaki sauce']",545.2,48.0,35.0,38.0,67.0,37.0,9.0,-
95,chicken pot pie   pies,223795,90,22,"['chicken breast', 'potato', 'durkee onion', 'butter', 'wheat flour', 'chicken broth', 'milk', 'salt', 'pepper', 'vegetable shortening', 'water']",868.7,87.0,6.0,49.0,51.0,96.0,21.0,-
96,colorful holiday potatoes,175743,135,18,"['potato', 'potato', 'wheat flour', 'butter', 'milk', 'chicken broth', 'fontina cheese', 'parmesan cheese', 'thyme sprigs', 'salt', 'pepper']",153.2,11.0,7.0,12.0,12.0,22.0,5.0,-
97,cream of browned potato and oatmeal soup,260593,90,18,"['cooking oil', 'potato', 'durkee onion', 'oatmeal', 'water', 'pepper', 'butter', 'wheat flour', 'milk']",156.7,10.0,2.0,2.0,7.0,12.0,7.0,-
98,homemade hash browns  oamc,170876,35,22,"['potato', 'water', 'butter', 'salt', 'pepper']",90.5,1.0,3.0,0.0,4.0,3.0,6.0,-
99,microwave mashed potatoes,148484,35,13,"['potato', 'milk', 'butter', 'pepper']",367.3,19.0,10.0,5.0,15.0,40.0,19.0,-
100,dannyzs turkey pumpkin chili,371653,75,11,"['olive oil', 'durkee onion', 'bell pepper', 'bell pepper', 'jalapeno pepper', 'garlic', 'ground cilantro', 'turkey breast', 'pumpkin puree', 'tomato', 'bean', 'chili powder', 'chipotle powder', 'salt', 'pepper', 'cheddar cheese', 'cream']",367.6,17.0,24.0,8.0,58.0,14.0,13.0,['american']
101,mel s black bean and sweet potato burritos,514566,50,18,"['potato', 'jalapeno pepper', 'pepper', 'durkee onion', 'oil', 'cumin powder', 'chili powder', 'salt', 'pepper', 'bean', 'ground cilantro', 'lime juice concentrate', 'cheddar cheese', 'jack cheese', 'flour tortilla']",497.6,29.0,19.0,37.0,41.0,46.0,20.0,['american']
102,santa fe chicken black bean salad,139757,50,4,"['chicken breast', 'corn', 'tomato', 'scallion', 'durkee onion', 'garlic', 'jalapeno pepper', 'bean', 'olive oil', 'lime juice concentrate', 'ground cilantro', 'salt', 'pepper']",85.8,6.0,2.0,4.0,12.0,3.0,1.0,['american']
103,southwestern chicken wrap,422173,15,5,"['cream', 'jalapeno pepper', 'lime juice concentrate', 'pepper', 'corn tortilla', 'spinach', 'chicken meat', 'bean', 'tomato', 'durkee onion', 'avocado']",660.0,39.0,15.0,26.0,85.0,39.0,21.0,['american']
104,ultimate seven layer dip,250867,35,16,"['tomato', 'jalapeno pepper', 'ground cilantro', 'scallion', 'lime juice concentrate', 'salt', 'bean', 'garlic', 'chili powder', 'cream', 'jack cheese', 'avocado']",503.4,58.0,15.0,23.0,43.0,90.0,8.0,-
105,country pasta,96831,35,5,"['durkee onion', 'garlic', 'oil', 'champignon mushroom', 'tomato sauce', 'olive', 'pepper flake', 'penne pasta', 'parmesan cheese']",505.4,14.0,25.0,38.0,24.0,8.0,32.0,-
106,hearts of palm parmesan salad,81260,15,2,"['palm', 'tomato', 'garlic', 'durkee onion', 'olive oil', 'pepper', 'parmesan cheese', 'leaf basil']",165.7,17.0,7.0,26.0,17.0,17.0,2.0,-
107,hearts of palm with garlic dip,43420,15,6,"['palm', 'garlic', 'olive oil', 'durkee onion', 'pepper']",446.0,59.0,2.0,70.0,21.0,27.0,7.0,-
108,kittencal s 15 minute parmesan pasta,167126,15,7,"['penne pasta', 'garlic', 'pepper flake', 'oil', 'parmesan cheese', 'pepper']",302.2,32.0,1.0,15.0,22.0,31.0,5.0,-
109,mushroom pasta for 2,18996,35,2,"['durkee onion', 'garlic', 'olive oil', 'portabella mushroom', 'tomato', 'olive', 'pepper flake', 'penne pasta', 'parmesan cheese', 'pepper', 'leaf basil']",464.7,11.0,14.0,13.0,22.0,7.0,30.0,-
110,baked meatball lasagna,227156,85,22,"['ground beef', 'veal', 'durkee onion', 'garlic', 'leaf parsley', 'oregano', 'salt', 'pepper', 'parmesan cheese', 'egg', 'oil', 'durkee onion', 'tomato', 'tomato paste', 'leaf basil', 'sugar', 'garlic', 'lasagna noodle', 'mozzarella cheese', 'ricotta cheese']",869.4,76.0,61.0,99.0,106.0,119.0,17.0,['italian']
111,katel s tweaked world s best lasagna,512379,693,27,"['sausage', 'ground beef', 'durkee onion', 'garlic', 'anchovy fillet', 'tomato', 'tomato paste', 'tomato sauce', 'wine', 'sugar', 'leaf basil', 'fennel seed', 'seasoning salt', 'pepper flake', 'salt', 'pepper', 'leaf parsley', 'vegetable oil cooking spray', 'lasagna noodle', 'ricotta cheese', 'nutmeg', 'egg', 'mozzarella cheese', 'parmesan cheese']",482.4,35.0,29.0,57.0,68.0,60.0,11.0,['italian']
112,put it together in 15 minutes lasagna,172393,75,22,"['oil', 'durkee onion', 'garlic', 'ground beef', 'leaf basil', 'oregano', 'pepper flake', 'tomato', 'tomato sauce', 'pepper', 'ricotta cheese', 'mozzarella cheese', 'egg', 'pepper', 'lasagna noodle', 'parmesan cheese']",886.8,73.0,31.0,38.0,127.0,130.0,16.0,['italian']
113,three cheese lasagna with italian sausage,208379,110,27,"['oil', 'durkee onion', 'baby carrot', 'garlic', 'ground beef', 'sausage', 'puree', 'tomato paste', 'leaf basil', 'sugar', 'oregano', 'leaf', 'pepper', 'lasagna noodle', 'ricotta cheese', 'parmesan cheese', 'spinach', 'egg', 'mozzarella cheese']",845.9,89.0,24.0,63.0,118.0,158.0,7.0,['italian']
114,three meat lasagna,96174,100,13,"['oil', 'durkee onion', 'ground beef', 'sausage', 'garlic', 'leaf basil', 'oregano', 'leaf parsley', 'salt', 'pepper', 'tomato sauce', 'tomato paste', 'sugar', 'lasagna noodle', 'ricotta cheese', 'egg', 'parmesan cheese', 'salt', 'pepper', 'mozzarella cheese', 'pepperoni']",767.6,86.0,43.0,93.0,93.0,130.0,6.0,['italian']
115,buffalo chicken garbage bread,475517,40,17,"['chicken breast', 'oil', 'pizza dough', 'mozzarella cheese', 'cheddar cheese', 'frank', 'ranch dress']",1950.3,232.0,18.0,125.0,265.0,313.0,3.0,-
116,homemade chicken parmesan,157868,70,10,"['chicken breast', 'mozzarella cheese', 'cheddar cheese', 'gouda cheese', 'parmesan cheese', 'tomato pasta sauce']",1213.5,130.0,39.0,109.0,187.0,241.0,5.0,-
117,how to cut up a chicken,232601,7,29,"['chicken meat', 'water']",2885.8,325.0,0.0,37.0,457.0,302.0,0.0,-
118,john s lasagna,326835,90,13,"['lasagna noodle', 'ground beef', 'durkee onion', 'celery seed', 'garlic', 'pizza sauce', 'champignon mushroom', 'cheddar cheese', 'mozzarella cheese', 'cheese']",1315.4,104.0,108.0,98.0,158.0,172.0,31.0,-
119,steak and blue cheese pizza,377666,40,21,"['vegetable oil cooking spray', 'durkee onion', 'champignon mushroom', 'salt', 'sirloin tip steak', 'pepper', 'pizza crust', 'mayonnaise', 'horseradish', 'cheese']",1784.2,171.0,12.0,35.0,355.0,227.0,2.0,-
120,caramelized creme brulee,286691,90,23,"['jumbo egg', 'milk', 'cream', 'vanilla extract', 'salt', 'sugar', 'water']",526.3,42.0,222.0,5.0,16.0,77.0,20.0,-
121,children s party cake  phoney fried eggs,11979,45,19,"['jumbo egg', 'sugar', 'water', 'vanilla extract', 'flour', 'egg white', 'tartar', 'salt', 'cream', 'apricot preserve', 'apricot']",443.8,29.0,165.0,4.0,10.0,57.0,21.0,-
122,chocolate velvet mousse,56749,10,20,"['chocolate', 'espresso', 'water', 'rum', 'jumbo egg', 'egg white', 'tartar', 'sugar', 'cream']",164.1,16.0,21.0,2.0,8.0,30.0,2.0,-
