,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,build your own breakfast egg sandwich,151638,8,11,"['bread', 'egg', 'butter', 'bacon', 'cheese', 'durkee onion']",479.1,41.0,9.0,51.0,54.0,64.0,10.0,-
1,cc s french onion casserole,31166,530,11,"['durkee onion', 'butter', 'champignon mushroom', 'cheese', 'mushroom soup', 'milk', 'sauce', 'bread']",650.7,53.0,28.0,40.0,64.0,102.0,17.0,-
2,chicken melt,112965,35,9,"['durkee onion', 'bread', 'butter', 'chicken breast', 'cheese']",628.1,49.0,15.0,28.0,94.0,92.0,11.0,-
3,patty melt,113651,20,10,"['cheese', 'cheese', 'ground beef', 'durkee onion', 'butter', 'bread']",883.8,99.0,18.0,41.0,75.0,180.0,12.0,-
4,ultimate patty melts   rachael ray,354866,30,11,"['olive oil', 'durkee onion', 'beef sirloin', 'sauce', 'salt', 'pepper', 'bread', 'butter', 'mustard', 'cheese', 'bacon', 'tomato']",859.5,89.0,20.0,34.0,100.0,126.0,11.0,-
5,basic muffins,174839,30,17,"['wheat flour', 'baking powder', 'salt', 'sugar', 'milk', 'egg', 'butter']",135.5,7.0,8.0,10.0,7.0,12.0,6.0,-
6,basic scones,62539,25,18,"['wheat flour', 'salt', 'butter', 'sugar', 'milk', 'baking powder', 'egg']",190.1,14.0,12.0,26.0,7.0,27.0,7.0,-
7,egyptian cake,312732,100,22,"['chocolate drink mix', 'egg', 'milk', 'butter', 'sugar', 'wheat flour', 'baking powder', 'salt']",438.1,23.0,187.0,19.0,14.0,43.0,23.0,-
8,frosted brown sugar pound cake,116076,95,15,"['wheat flour', 'baking powder', 'salt', 'butter', 'sugar', 'sugar', 'egg', 'milk', 'vanilla extract']",578.3,37.0,256.0,16.0,12.0,74.0,28.0,-
9,grandma kay s swedish pancakes,27764,40,13,"['egg', 'milk', 'sugar', 'salt', 'baking powder', 'wheat flour', 'butter']",320.2,36.0,12.0,14.0,20.0,65.0,5.0,-
10,2bleu s apple blossoms  chudleigh s copycat,403839,60,17,"['apple', 'lemon juice concentrate', 'cornstarch', 'cinnamon', 'butter', 'sugar', 'wheat flour', 'vegetable oil', 'water', 'egg', 'oat', 'sugar']",378.4,21.0,161.0,15.0,7.0,24.0,20.0,-
11,apple cinnamon crumble pie,161975,95,17,"['pie pastry', 'apple', 'sugar', 'wheat flour', 'cinnamon', 'butter', 'sugar', 'sugar', 'salt']",531.3,31.0,226.0,11.0,7.0,48.0,29.0,-
12,apple pie in cheddar crust,6743,70,21,"['wheat flour', 'cheddar cheese', 'salt', 'vegetable shortening', 'water', 'apple', 'sugar', 'cinnamon', 'butter', 'jumbo egg']",641.0,55.0,128.0,15.0,22.0,71.0,23.0,-
13,apple walnut crisp,178506,65,13,"['wheat flour', 'oat', 'sugar', 'cinnamon', 'salt', 'butter', 'walnut', 'apple', 'lemon juice concentrate', 'sugar', 'sugar', 'nutmeg', 'ice cream']",723.5,45.0,306.0,6.0,16.0,56.0,38.0,-
14,bek s baked apple crisp,297472,45,21,"['tart cooking apple', 'lemon juice concentrate', 'sugar', 'sugar', 'wheat flour', 'cinnamon', 'nutmeg', 'clove', 'butter', 'oat', 'salt']",390.0,19.0,185.0,10.0,7.0,37.0,22.0,-
15,popeye s fried chicken copycat,89925,40,12,"['chicken meat', 'pepper', 'cayenne pepper', 'salt', 'tabasco jalapeno sauce', 'vegetable oil', 'purpose flour', 'paprika', 'egg', 'milk']",12197.4,2044.0,7.0,306.0,66.0,886.0,25.0,['american']
16,popeye s popcorn shrimp and chicken,514104,45,8,"['shrimp', 'chicken breast', 'vegetable oil', 'purpose flour', 'salt', 'pepper', 'cayenne pepper', 'paprika', 'egg', 'seasoning salt']",12571.5,2050.0,5.0,364.0,221.0,880.0,26.0,['american']
17,rosemary scented  extra crispy fried chicken,430064,250,26,"['chicken meat', 'rosemary sprigs', 'sage', 'garlic', 'pepper', 'egg', 'olive oil', 'salt', 'wheat flour', 'peanut butter', 'lemon']",4910.2,758.0,2.0,84.0,147.0,447.0,18.0,['italian']
18,roasted garlic oil,210046,65,23,"['garlic', 'oil']",8990.7,1336.0,36.0,7.0,115.0,600.0,100.0,-
19,wet fried calamari,189644,40,15,"['peanut butter', 'squid', 'egg', 'ice', 'purpose flour', 'salt', 'pepper']",4055.3,669.0,0.0,2.0,44.0,369.0,9.0,-
20,creamy mashed potato bake,13079,55,9,"['potato', 'cream', 'milk', 'garlic', 'durkee onion', 'cheddar cheese']",252.0,23.0,7.0,19.0,16.0,47.0,6.0,['american']
21,creamy potato casserole,310736,45,8,"['potato', 'cream', 'milk', 'garlic', 'durkee onion', 'cheddar cheese']",373.1,34.0,10.0,28.0,24.0,70.0,10.0,-
22,fat free garlic smashed potatoes,115567,35,6,"['potato', 'chicken broth', 'seasoning salt', 'garlic', 'cream', 'milk', 'baby dill pickle', 'durkee onion']",199.0,1.0,15.0,36.0,14.0,1.0,13.0,-
