,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,21st street pan bagna rolls,136796,40,12,"['yeast', 'water', 'sugar', 'oil', 'salt', 'wheat flour']",272.2,11.0,4.0,24.0,13.0,5.0,14.0,-
1,easy as pita bread,209486,45,12,"['yeast', 'sugar', 'salt', 'oil', 'water', 'wheat flour']",811.6,23.0,7.0,48.0,39.0,10.0,48.0,-
2,favorite pizza crust,129627,45,14,"['water', 'sugar', 'yeast', 'salt', 'oil', 'wheat flour']",824.7,23.0,10.0,48.0,42.0,10.0,49.0,-
3,pizza dough   super easy to make,339573,30,13,"['wheat flour', 'yeast', 'sugar', 'salt', 'water', 'oil']",177.7,4.0,3.0,16.0,9.0,1.0,10.0,-
4,pizza pockets or hot pockets,338012,50,14,"['yeast', 'sugar', 'water', 'oil', 'salt', 'wheat flour', 'pepperoni', 'tomato sauce', 'cheese']",262.6,7.0,9.0,16.0,13.0,3.0,15.0,-
5,baked  lite  spam,183758,25,4,"['spam', 'vinegar', 'sugar', 'mustard', 'water', 'clove']",330.1,35.0,71.0,48.0,22.0,41.0,6.0,-
6,creamy sweet   garlicky dressing   dip  dairy free,256484,10,2,"['mustard', 'vinegar', 'water', 'sugar', 'mayonnaise', 'garlic']",101.9,10.0,36.0,7.0,0.0,5.0,3.0,-
7,homemade vegan miracle whip   mayonnaise,450650,20,3,"['wheat flour', 'sugar', 'water', 'vinegar', 'vegetable oil', 'lemon juice concentrate', 'salt', 'mustard', 'tofu']",69.0,7.0,12.0,6.0,0.0,3.0,1.0,-
8,mom s pot roast,50590,200,7,"['arm roast', 'oil', 'mustard', 'sugar', 'water', 'vinegar', 'durkee onion', 'salt', 'wheat flour']",50.9,5.0,9.0,0.0,1.0,2.0,1.0,-
9,old fashioned ham glaze,122484,127,7,"['sugar', 'mustard', 'vinegar']",106.4,0.0,106.0,0.0,0.0,0.0,9.0,-
10,banana walnut loaf,59903,55,7,"['wheat flour', 'sugar', 'egg', 'shortening', 'banana', 'baking powder', 'baking soda', 'salt', 'cinnamon', 'vanilla', 'walnut']",3642.8,236.0,1122.0,111.0,106.0,164.0,176.0,-
11,butterscotch bread,34387,50,9,"['egg', 'sugar', 'shortening', 'wheat flour', 'baking soda', 'baking powder', 'salt', 'milk', 'walnut']",2513.4,111.0,908.0,72.0,97.0,74.0,141.0,-
12,caramel squares,73507,45,10,"['butter', 'sugar', 'jumbo egg', 'wheat flour', 'egg white', 'vanilla', 'salt', 'walnut']",3546.7,274.0,1299.0,55.0,94.0,343.0,153.0,-
13,charlene s  grandma s cookies,82291,20,6,"['egg', 'sugar', 'shortening', 'milk', 'baking powder', 'baking soda', 'vanilla flavoring', 'salt', 'wheat flour']",5957.9,353.0,1608.0,163.0,170.0,304.0,298.0,-
14,homemade graham crackers,74527,30,10,"['shortening', 'sugar', 'sugar', 'wheat flour', 'wheat flour', 'baking soda', 'baking powder', 'salt', 'milk', 'vanilla']",6697.4,342.0,2559.0,247.0,177.0,287.0,374.0,-
15,crab spread for crackers  non dairy,136659,10,3,"['crabmeat', 'durkee onion', 'garlic', 'oil', 'pepper']",79.0,6.0,1.0,15.0,16.0,3.0,0.0,['american']
16,leftover chicken tortilla soup,160091,35,6,"['chicken meat', 'tomato', 'garlic', 'jalapeno pepper', 'durkee onion', 'oil', 'chicken broth', 'cumin', 'pepper']",199.3,14.0,9.0,34.0,45.0,10.0,1.0,['mexican']
