,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,baked dijon chicken,116763,35,6,"['chicken breast', 'mustard', 'lemon juice concentrate', 'garlic', 'pepper']",129.2,2.0,0.0,4.0,52.0,1.0,0.0,-
1,baked oregano chicken,471203,30,6,"['chicken breast', 'breadcrumb', 'parmesan cheese', 'oregano', 'garlic', 'pepper', 'mustard']",298.3,23.0,2.0,14.0,65.0,22.0,2.0,-
2,honey mustard chicken nuggets,97368,17,5,"['chicken breast', 'mayonnaise', 'mustard', 'honey', 'pepper', 'breadcrumb']",349.0,29.0,38.0,15.0,62.0,23.0,4.0,-
3,shake n  bake barbecue chicken,285248,45,9,"['barbecue sauce', 'mustard', 'baking', 'breadcrumb', 'garlic', 'seasoning salt', 'pepper', 'chicken breast']",192.0,3.0,6.0,13.0,58.0,2.0,3.0,-
4,sweet mustard baked chicken,225359,45,6,"['chicken breast', 'pepper', 'mustard', 'sugar', 'wine']",179.0,2.0,47.0,3.0,52.0,1.0,4.0,-
5,greek cognac cookies,170037,155,11,"['butter', 'sugar icing', 'jumbo egg', 'cognac', 'wheat flour']",1017.9,97.0,157.0,0.0,20.0,197.0,34.0,['greek']
6,kourabiedes  greek cookies,19702,80,13,"['butter', 'sugar', 'jumbo egg', 'anisette', 'wheat flour']",153.2,12.0,46.0,0.0,2.0,24.0,6.0,['greek']
7,kourabiethes  greek butter cookies,503755,30,14,"['butter', 'sugar icing', 'jumbo egg', 'brandy', 'wheat flour', 'baking powder', 'almond']",124.4,11.0,16.0,0.0,3.0,20.0,4.0,['greek']
8,perfect  and easy   shortbread,201066,65,7,"['cornstarch', 'sugar icing', 'wheat flour', 'butter']",80.0,8.0,0.0,1.0,1.0,18.0,2.0,['american']
9,butter crescents,307581,30,11,"['butter', 'wheat flour', 'jumbo egg', 'cream', 'fruit fill', 'sugar icing']",96.2,11.0,0.0,1.0,2.0,23.0,2.0,-
10,bodean s chocolate mousse,182402,40,10,"['chocolate', 'sugar', 'jumbo egg', 'cream', 'cream']",306.3,45.0,25.0,1.0,6.0,87.0,2.0,-
11,kahlua coffee ice cream,197942,140,13,"['cream', 'milk', 'sugar', 'kahlua', 'espresso powder', 'jumbo egg']",127.5,13.0,34.0,0.0,3.0,26.0,3.0,-
12,lingonberry ice cream,170292,35,9,"['jumbo egg', 'sugar', 'water', 'cream', 'lingonberry sauce']",306.7,38.0,67.0,1.0,6.0,74.0,6.0,-
13,turkish coffee pudding,156266,320,13,"['cream', 'kahlua', 'espresso powder', 'cardamom', 'jumbo egg', 'sugar', 'espresso powder']",421.6,55.0,58.0,1.0,7.0,108.0,6.0,-
14,whipped chocolate cream icing,87683,10,4,"['cream', 'sugar', 'cocoa']",273.6,34.0,58.0,0.0,3.0,68.0,6.0,-
15,greek loukamades,30066,225,15,"['yeast', 'water', 'milk', 'sugar', 'salt', 'egg', 'butter', 'wheat flour', 'vegetable oil', 'honey', 'cinnamon']",569.6,29.0,160.0,18.0,22.0,56.0,30.0,['greek']
16,greek thiples,170779,90,16,"['egg', 'butter', 'salt', 'wheat flour', 'honey', 'cinnamon', 'ground walnut', 'oil']",66.5,5.0,0.0,2.0,3.0,9.0,2.0,['greek']
17,honey tart,318614,60,12,"['sugar', 'wheat flour', 'butter', 'water', 'cheese', 'honey', 'egg', 'cinnamon']",330.6,31.0,57.0,7.0,13.0,60.0,10.0,['greek']
18,sifnos honey pie,70848,75,12,"['flour', 'sugar', 'baking powder', 'salt', 'butter', 'ice', 'ricotta cheese', 'wheat flour', 'cinnamon', 'honey', 'egg', 'lemon', 'zest']",525.2,33.0,168.0,8.0,25.0,64.0,24.0,['greek']
19,siphniac honey cake,135057,45,7,"['wheat flour', 'butter', 'cheese', 'honey', 'sugar', 'cinnamon', 'egg', 'cinnamon']",508.6,45.0,130.0,11.0,16.0,86.0,18.0,['greek']
20,easy russian salad,389243,50,5,"['potato', 'baby carrot', 'pea', 'mayonnaise', 'water']",233.6,0.0,24.0,2.0,12.0,0.0,17.0,-
21,microwave peas,276987,4,2,"['pea', 'water']",25.8,0.0,6.0,1.0,3.0,0.0,1.0,-
22,no bake tuna casserole,313838,20,3,"['cheddar cheese blend', 'water', 'mushroom soup', 'pea']",563.5,13.0,62.0,60.0,84.0,14.0,26.0,-
23,soccer mom tuna casserole,265147,20,2,"['cheese dinner mix', 'water', 'pea']",427.7,7.0,53.0,33.0,62.0,8.0,21.0,-
24,steamed carrots in the buff,490639,10,6,"['baby carrot', 'water']",46.5,0.0,21.0,3.0,2.0,0.0,3.0,-
25,awesome brussels sprouts,404868,30,8,"['sprout', 'butter', 'salt', 'pepper']",91.7,9.0,7.0,2.0,5.0,18.0,2.0,-
26,brussels sprouts saute with apples and onion,178409,25,5,"['sprout', 'butter', 'durkee onion', 'apple', 'thyme sprigs', 'salt', 'pepper']",141.6,7.0,51.0,18.0,7.0,13.0,8.0,-
27,christmas chestnut brussels sprouts,186487,40,7,"['butter', 'durkee onion', 'sprout', 'chestnut', 'nutmeg', 'salt', 'pepper']",210.2,19.0,12.0,3.0,7.0,37.0,7.0,-
28,leaves of brussels sprouts in browned butter,146495,40,10,"['sprout', 'durkee onion', 'butter', 'salt', 'pepper']",149.6,18.0,10.0,5.0,6.0,37.0,3.0,-
29,parmesan grilled sweet onions,101424,40,5,"['durkee onion', 'butter', 'parmesan cheese', 'salt', 'pepper']",89.6,8.0,13.0,12.0,5.0,17.0,2.0,-
30,ham  potatoes  and green beans,221330,30,8,"['ham', 'potato', 'bean', 'durkee onion', 'water', 'pepper']",335.6,6.0,14.0,67.0,43.0,7.0,17.0,-
31,one pot ham dinner,174474,60,7,"['ham', 'potato', 'salt', 'pepper', 'bean', 'durkee onion', 'mushroom soup', 'water']",447.9,25.0,21.0,36.0,50.0,27.0,16.0,-
32,potato burgers,10985,35,6,"['durkee onion', 'potato', 'wheat flour', 'water']",227.2,0.0,9.0,0.0,12.0,0.0,17.0,-
33,sweet potato italian gnocchi,499500,35,6,"['potato', 'water', 'egg', 'wheat flour']",300.3,2.0,22.0,4.0,16.0,2.0,20.0,-
34,winter stodge,358406,20,4,"['bean', 'potato', 'ground beef', 'durkee onion', 'egg']",562.8,30.0,80.0,31.0,70.0,37.0,22.0,-
