,name,id,minutes,n_steps,ingredients,calories,fat_amount,sodium_amount,protein_amount,sugar_amount,saturated_fat,carbohydrates,cuisine
0,blt restaurant popovers,465991,65,12,"['milk', 'egg', 'wheat flour', 'salt', 'gruyere cheese']",335.0,20.0,1.0,42.0,34.0,33.0,11.0,-
1,creamy baked spinach,109008,35,13,"['butter', 'durkee onion', 'wheat flour', 'nutmeg', 'cream', 'milk', 'egg', 'spinach', 'salt', 'pepper', 'parmesan cheese', 'gruyere cheese', 'cheddar cheese', 'feta cheese', 'breadcrumb']",503.5,56.0,16.0,33.0,52.0,109.0,7.0,-
2,la masias cauliflower souffle,151026,70,17,"['head cauliflower', 'butter', 'milk', 'wheat flour', 'cream', 'egg', 'parmesan cheese', 'salt', 'nutmeg']",318.3,35.0,8.0,30.0,34.0,69.0,3.0,-
3,swiss smoked salmon omelet,458009,20,7,"['egg', 'cream', 'pepper', 'salt', 'butter', 'salmon', 'gruyere cheese']",352.1,41.0,1.0,19.0,49.0,66.0,0.0,-
4,uruguay torta pascualina egg and spinach hors d oeuvres,161772,70,10,"['phyllo dough', 'butter', 'parmesan cheese', 'spinach', 'salt', 'pepper', 'nutmeg', 'cream', 'wheat flour', 'egg']",652.1,42.0,3.0,45.0,34.0,64.0,26.0,-
5,apple pie bars,258733,90,12,"['wheat flour', 'sugar', 'salt', 'shortening', 'egg', 'milk', 'apple', 'cinnamon', 'sugar', 'butter', 'vanilla']",138.8,9.0,49.0,3.0,2.0,8.0,6.0,-
6,cream puffs,44654,60,12,"['shortening', 'salt', 'water', 'wheat flour', 'egg', 'milk', 'sugar', 'cornstarch', 'jumbo egg', 'vanilla']",249.3,19.0,67.0,2.0,9.0,19.0,9.0,-
7,danish pastry apple squares,51243,90,17,"['wheat flour', 'salt', 'shortening', 'sugar', 'cinnamon', 'milk', 'jumbo egg', 'egg white', 'sugar', 'vanilla', 'corn flake', 'water', 'apple']",306.6,23.0,86.0,6.0,5.0,18.0,13.0,-
8,hojarascas,213940,140,6,"['sugar', 'cinnamon', 'salt', 'milk', 'water', 'shortening', 'wheat flour', 'vanilla']",58.2,5.0,4.0,0.0,1.0,4.0,1.0,-
9,jan s french pastry apple slices,195048,100,14,"['wheat flour', 'salt', 'shortening', 'jumbo egg', 'water', 'lemon juice concentrate', 'apple', 'sugar', 'cinnamon', 'nutmeg']",276.6,14.0,122.0,9.0,4.0,12.0,15.0,-
